111,君子,くんし,道徳的に立派な人物,,
112,小人,しょうじん,ちっぽけな人物,,
113,匹夫,ひっぷ,つまらない人物,,
114,丈夫,じょうぶ,立派な男子,,
115,大丈夫,だいじょうぶ,立派な男子,,
116,士,し,優れた人材,,
117,士大夫,したいふ,知識人,優れた人物,
118,聖人,せいじん,知徳に優れた人物,万民の道徳的指導者,
119,賢人,けんじん,知徳に優れた人物,,
120,相,しょう,宰相,,
121,君,きみ,君主,あなた,
122,臣,しん,臣下,わたし,
123,天子,てんし,行程,,
124,左右,さゆう,側近,そば,
125,上,しょう,皇帝,王,諸侯
126,下,しも,下々,民衆,人民
127,社稷,しゃしょく,国家,,
128,京師,けいし,みやこ,,
129,城,しろ,まち,,
130,市井,しせい,市場と井戸端,民間,
131,布衣,ふい,無官の人,,
132,百姓,ひゃくせい,人民,,
133,人間,じんかん,人間世界,世間,
134,鬼,きみ,祖霊,幽霊,物の怪
135,寡人,かじん,わたし(王・諸侯の自称),,
136,朕,ちん,わたし(皇帝の自称),,
137,余,よ,わたし,,
138,予,よ,わたし,,
139,汝,なんじ,あなた,,
140,若,なんじ,あなた,,
141,女,なんじ,あなた,,
142,子,し,あなた,,
143,夫子,ふうっし,あなた,先生,
144,公,こう,あなた,,
145,卿,けいし,あなた,,
146,客,かく,旅人,客人,
147,学者,がくしゃ,学生,,
148,書,しょ,手紙,書物,
149,首,くび,頭,,
150,朝,ちょう,朝廷,,
151,声,せい,名声,音声,
152,裏,うら,内側,,
153,罪,罪す,罰する,処刑する,
154,飽,飽く,満足する,満足させる,
155,与,与(ｱﾂﾞｶ)る,関与する,,
156,与,与(ｸﾐ)す,味方する,,
157,与,与に,一緒に,,
158,為,ーと為す,―と見なす,,
159,為,ーを為す,―を行う,,
160,為,ーと為る,ーになる,,
161,為,ーたり,ーである,,
162,為,為(ﾂｸ)る,作る,,
163,為,為(ｵｻ)む,治める,,
164,為,為に,ーのために,,
165,之,之く,行く,,
166,已,已(ﾔ)む,中止する,辞める,
167,中,中(ｱ)つ,当てる(命中),,
168,中,中(ｱﾀ)る,当たる(命中),,
169,説,説ぶ,喜ぶ,,
170,悪,悪む,増悪する(増悪),,
171,疾,疾(ﾆｸ)む,増悪する(疾悪),,
172,疾,やまい,疾病,,
173,疾,疾(ﾊﾔ)し,速い,,
174,道,道(ｲ)ふ,言う,,
175,道,道(ﾐﾁﾋﾞ)く,導く,,
176,致,致す,送る,招く,
177,去,去る,取り去る,,
178,就,就く,近づく,,
179,就,就(ﾅ)る・就(ﾅ)す,成る,成す,
180,待,待つ,扱う(待遇),,
181,遺,遺(ﾉｺ)す,残す,,
182,遺,遺(ｽ)つ,捨てる,,
183,遺,遺(ﾜｽ)る,忘れる,,
184,遺,遺(ｵｸ)る,贈る,,
185,事,事(ﾂｶ)ふ,お仕えする,,
186,事,事とす,専念する,従事する,
187,作,作(ﾅ)す,する,,
188,作,作(ﾅ)る,なる,,
189,作,作(ｵｺ)る,起こる,,
190,発,発(ﾋﾗ)く,開く,,
191,発,発(ｵｺ)す・発る,起こす,起こる,
192,発,発す,出す,,
193,負,負(ｿﾑ)く,裏切る,,
194,負,負(ﾀﾉ)む,頼る,,
195,過,過ぐ,過ぎ去る,,
196,過,過ぐ,度を超す,,
197,過,過ち・過つ,あやまち,失敗,
198,過,過(ﾖｷﾞ)る,立ち寄る,,
199,辞,辞す,ことわる,,
200,辞,辞す,辞める,,
201,辞,辞す,別れを告げる,,
202,謝,謝(ｼｬ)す,断る,,
203,謝,謝(ｼｬ)す,あやまる,,
204,謝,謝(ｼｬ)す,礼を言う,,
205,謝,謝(ｼｬ)す,去る,,
206,望,望む,遠くを見る,,
207,造,造(ｲﾀ)る,とどく,,
208,詣,詣(ｲﾀ)る,とどく,,
209,見,見ゆ,お目通りする,,
210,見,見(ｱﾗﾊ)る・見す,現す,現れる,
211,愛,愛(ｲﾂｸ)しむ,慈しむ,,
212,愛,愛(ｦ)しむ,惜しむ,,